Território;Nome do território;Sexo;Ano;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.);População
430010;Agudo;Homens;2020;78;949.25;834.44;8217
430010;Agudo;Homens;2021;104;1270.62;1063.68;8185
430010;Agudo;Homens;2022;112;1377.78;1136.39;8129
430010;Agudo;Homens;2023;81;1002.35;800.3;8081
430010;Agudo;Homens;2024;96;1191.81;903.34;8055
430010;Agudo;Homens;2025;86;1068.19;800.68;8051
430010;Agudo;Mulheres;2000;50;571.56;617.18;8748
430010;Agudo;Mulheres;2001;45;513.46;528.62;8764
430010;Agudo;Mulheres;2002;57;650.83;665.42;8758
430010;Agudo;Mulheres;2003;56;640.22;640.4;8747
430010;Agudo;Mulheres;2004;68;779.28;768.46;8726
430010;Agudo;Mulheres;2005;63;724.14;702.57;8700
430010;Agudo;Mulheres;2006;72;830.16;795.64;8673
430010;Agudo;Mulheres;2007;66;763.89;701.56;8640
430010;Agudo;Mulheres;2008;60;697.59;647.65;8601
430010;Agudo;Mulheres;2009;71;828.18;738.34;8573
430010;Agudo;Mulheres;2010;74;867.02;748.17;8535
430010;Agudo;Mulheres;2011;51;599.01;491.28;8514
430010;Agudo;Mulheres;2012;60;706.13;554.97;8497
430010;Agudo;Mulheres;2013;72;848.36;644.05;8487
430010;Agudo;Mulheres;2014;54;637.47;491.94;8471
430010;Agudo;Mulheres;2015;62;733.21;547.83;8456
430010;Agudo;Mulheres;2016;72;852.98;631.53;8441
430010;Agudo;Mulheres;2017;58;687.77;495.31;8433
430010;Agudo;Mulheres;2018;64;760.28;525.48;8418
430010;Agudo;Mulheres;2019;65;772.89;529.56;8410
430010;Agudo;Mulheres;2020;82;976.07;634.61;8401
430010;Agudo;Mulheres;2021;82;978.17;655.39;8383
430010;Agudo;Mulheres;2022;101;1209.73;774.23;8349
430010;Agudo;Mulheres;2023;100;1202.21;758.69;8318
430010;Agudo;Mulheres;2024;83;1001.09;630.58;8291
430010;Agudo;Mulheres;2025;68;820.27;491.58;8290
430020;Ajuricaba;Ambos;2000;50;640.04;750.19;7812
430020;Ajuricaba;Ambos;2001;55;705.58;781.72;7795
430020;Ajuricaba;Ambos;2002;55;707.85;767.21;7770
430020;Ajuricaba;Ambos;2003;47;607.16;641.36;7741
430020;Ajuricaba;Ambos;2004;57;740.07;762.41;7702
430020;Ajuricaba;Ambos;2005;56;730.98;730.74;7661
430020;Ajuricaba;Ambos;2006;51;669.73;641.75;7615
430020;Ajuricaba;Ambos;2007;42;554.24;516.03;7578
430020;Ajuricaba;Ambos;2008;55;730.7;656.33;7527
430020;Ajuricaba;Ambos;2009;44;587.76;515.62;7486
430020;Ajuricaba;Ambos;2010;54;725.61;603.06;7442
430020;Ajuricaba;Ambos;2011;53;716.8;579.75;7394
430020;Ajuricaba;Ambos;2012;44;598.15;474.35;7356
430020;Ajuricaba;Ambos;2013;70;956.55;730.51;7318
430020;Ajuricaba;Ambos;2014;68;933.04;687.22;7288
430020;Ajuricaba;Ambos;2015;65;896.3;661.61;7252
